Station,Cruise,Lat,Lon,Date,Depth,Temp,Orthophosphate,NitratePlusNitrite,Nitrite,Silicate,Ammonium,Salinity,Nutricline_1uM_Interp,PAR_MODIS_9km_8d_umolm2d1,PAR_OASIM_1deg_Monthly_umolm2d1,KDPAR_MODIS_OS_9km_8d,MLD_HYCOM_9km_8d,MLPAR_MODIS_9km_8d_umolm2d1,MLPAR_OASIM_1deg_Monthly_umolm2d1,FeT_CESM2,HLI,HLII,HLIII.IV,LLI,LLII.III,LLIV,SCCG
IN020,I09N,-27.107527,94.999515,2016-03-25,7,23.959,0.06,0,0,1.5,0.029990539,35.774,170.1,517.381712962963,405.859196627582,0.03488583,54.650433,231.049066542425,181.246043644326,5.9818183e-05,0.0761226106612837,0.912706257237722,0.00453633686799716,0.00247119212876046,0.0037939784133518,0.000369624690885199,5.94203351458322
IN022,I09N,-25.99,94.9998333,2016-03-26,7,24.308,0.08,0,0,1.4,0.013538669,35.64865,167.95,538.585358796296,430.754604653567,0.037660077,52.488464,234.721683271268,187.727802529025,8.133436e-05,0.0595559943973601,0.931294333782654,0.00375387142166266,0.00189091884454381,0.00322538239581078,0.000279499157968314,6.78396855292392
IN023,I09N,-25.9047,95.0001833,2016-03-26,7,24.714,0.07,0,0,1.3,0.013538669,35.6395,157.2,536.550902777778,430.754604653567,0.03631272,52.693577,239.030201702073,191.898586884091,8.133436e-05,0.0550018766386571,0.935606024507221,0.00376444125094758,0.00210372619133505,0.00325946875974005,0.00026446265209948,9.07148626405551
IN025,I09N,-25.334947,94.9995633,2016-03-26,7,24.715,0.05,0,0,1.4,0.011319072,35.6495,166.6,519.189814814815,470.738051604832,0.036287464,46.705177,250.086131281482,226.747626424115,0.00010198136,0.066862049806535,0.920564107353139,0.00515560866926249,0.00275202102409009,0.00432380037290445,0.000342412774068624,5.61454389145342
IN035,I09N,-22.453317,94.9999167,2016-03-28,7,25.167,0.07,0,0,1.3,0.012183827,35.4505,147.7,531.993287037037,479.865736431546,0.04107774,26.07701,326.490026834561,294.498785947302,0.00015224771,0.0221971504160491,0.960512289534486,0.00582696029386482,0.00387770120202022,0.0069238318872108,0.000662066666368786,5.01421862689362
IN036,I09N,-22.162742,94.9999917,2016-03-28,7,25.065,0.0675,0.02027297,0.00506824,1.275,0.012183827,35.32255,146.35,531.422337962963,479.865736431546,0.041159377,29.34273,308.507478154289,278.577240028372,0.00015224771,0.0264668308180369,0.956847932139828,0.00591889043511579,0.00380158477121394,0.00634571072156541,0.000619051114239788,5.11342433190208
IN056,I09N,-16.277557,94.9998617,2016-03-31,7,27.485,0.03,0,0,1.7,0.015000294,34.9756,112.2,570.923356481482,512.509487048098,0.04212909,43.777542,260.607531176426,233.943541821858,0.00026550793,0.016011392980075,0.971929119043293,0.00412585011277781,0.00269399190322243,0.00479311552321652,0.000446530437415827,7.20336325952685
IN057,I09N,-16.003897,95,2016-04-01,7,27.268,0.02,0,0,1.6,0.016951416,34.97995,105.4,578.176446759259,447.025023738053,0.038307987,41.72828,288.561071770186,223.104937395791,0.00025786637,0.0152168843334779,0.973073966419224,0.00414065381930375,0.00250721435627809,0.00466772268455117,0.000393558387165329,8.74852063071859
IN058,I09N,-15.717108,94.99,2016-04-01,7,27.366,0.01,0,0,1.5,0.016951416,34.9843,98.6,583.842546296296,447.025023738053,0.041646533,41.855526,276.33349425168,211.577569348272,0.00025786637,0.0119713826775945,0.973731476712376,0.00472377991607253,0.00332148233448611,0.00567787434195323,0.000574004017517568,9.92346126559402
IN059,I09N,-15.447758,95.0013,2016-04-01,7,27.355,0.04,0,0,1.25,0.018805847,34.707,110.3,580.360092592593,415.9918488789,0.040170982,45.123013,267.914705600752,192.036522061382,0.00029346294,0.0113053673044653,0.977141272417244,0.00412450148543519,0.0025285474406714,0.00449150967604041,0.000408801676143636,12.033902353504
IN060,I09N,-15.168228,94.9998567,2016-04-01,7,27.412,0.07,0,0,1,0.018805847,34.4297,122,569.979398148148,415.9918488789,0.038135245,46.5766,266.575535852979,194.556593423647,0.00029346294,0.0125281003361979,0.972814513768885,0.00492908950964408,0.00332890853543092,0.00568874823298493,0.000710639616857307,7.17519231620303
IN061,I09N,-14.929767,94.9999833,2016-04-01,7,28.237,0.06,0,0,1,0.018805847,34.42155,105.9,550.473217592593,415.9918488789,0.04508391,44.777084,236.464404703612,178.695823453314,0.00029346294,0.0124948649094463,0.976810090205727,0.0038462123260444,0.00243452977291979,0.00399223430755829,0.000422068478304289,14.238302353968
IN062,I09N,-14.632748,94.99994,2016-04-01,7,28.617,0.05,0,0,1,0.018805847,34.4134,89.8,560.558101851852,415.9918488789,0.04635239,51.278965,213.941112332647,158.766341216824,0.00029346294,0.0145492715804783,0.973026932289692,0.00432026098001136,0.00280727413548108,0.00480553267722511,0.000490728337112467,8.54583520810155
IN063,I09N,-14.346467,94.99995,2016-04-01,7,28.598,0.05,0,0,0.95,0.02073637,34.3866,80.8,567.75462962963,446.819255872028,0.03913288,53.2692,238.489051374794,187.689355414725,0.00032289122,0.0142132440632443,0.971282242576529,0.00489756226770334,0.00345579802004651,0.00563082506838829,0.000520328004088188,7.12372158682871
IN064,I09N,-14.08315,94.9997667,2016-04-01,7,28.5759,0.05,0,0,0.9,0.02073637,34.3598,71.8,564.953703703704,446.819255872028,0.041352764,41.32863,270.720732059691,214.111767486495,0.00032289122,0.0142365277966777,0.974498734254597,0.00387800318107397,0.00244667534266597,0.00447603493966241,0.000464024485322925,6.82846343955624
IN065,I09N,-13.840785,94.9999767,2016-04-02,7,28.345,0.05,0,0,0.9,0.02073637,34.32275,76,550.110601851852,446.819255872028,0.050184283,42.628033,226.872822712062,184.274117751125,0.00032289122,0.0110131375298324,0.977809505117449,0.0038939582392101,0.00241634706987951,0.00446480900301877,0.000402243040609779,10.6544083692365
IN066,I09N,-13.566538,94.9998717,2016-04-02,7,28.5859,0.05,0,0,0.9,0.02073637,34.2857,80.2,508.780833333333,446.819255872028,0.056211703,30.348223,244.08106371533,214.355793529441,0.00032289122,0.00971129610775807,0.978867260070843,0.00400011115569668,0.00258169722766406,0.00436812251081705,0.000471512927221449,6.63250418084625
IN068,I09N,-13.0295,95,2016-04-02,7,29.1649,0.03,0,0,1,0.02387648,34.0156,74.7,531.643541666667,386.007357036135,0.055195414,40.73913,211.477443063293,153.546206192426,0.00035934686,0.00863414541478236,0.977407568018875,0.00473013958139582,0.00333842064716793,0.00533230602051597,0.000557420317263156,5.43666851185394
IN069,I09N,-12.761883,94.9999,2016-04-02,7,29.3949,0.035,0,0,1.15,0.02387648,33.9558,59.75,539.74275462963,386.007357036135,0.054465804,43.72595,205.691106611558,147.103930062847,0.00035934686,0.00711940442059783,0.980915114306943,0.0039374636609981,0.00284760901424845,0.00471342105811126,0.000466987539101371,5.19355862981668
IN071,I09N,-12.282843,94.9999817,2016-04-02,7,29.565,0.04,0,0,1.15,0.030016417,33.9164,50.1,466.877546296296,481.144354176619,0.056635786,40.801025,182.002774461119,187.564401139294,0.00038291735,0.00686621748970294,0.981899409522336,0.00382963925011025,0.00271009973035886,0.00421412124905316,0.000480512758438451,7.18793703703554
IN072,I09N,-11.947892,94.9998733,2016-04-03,7,29.69,0.04,0,0,1,0.030016417,33.9368,55.4,418.937731481481,481.144354176619,0.057038493,39.360065,166.840061202406,191.613567997676,0.00038291735,0.00705164190578383,0.982716697446373,0.00365240472515113,0.00221352707032861,0.00400758235603429,0.000358146496329348,13.4940959615319
IN073,I09N,-11.627658,95.0000333,2016-04-03,7,29.745,0.045,0,0,1.05,0.030016417,33.9762,50.7,502.993796296296,481.144354176619,0.063039124,39.75821,184.320150208172,176.31350582584,0.00038291735,0.00760552340673808,0.981557484635543,0.00371837495109936,0.00251387451312512,0.0042340477310871,0.000370694762406912,11.5286888550765
IN074,I09N,-11.420658,94.9997,2016-04-03,7,29.806,0.05,0,0,1.1,0.036319237,34.0156,46,563.760243055556,445.003936320175,0.06219644,40.38915,206.220595186676,162.780149431923,0.0003848585,0.00773904785692775,0.980684723249319,0.00408678019659383,0.00275392265632799,0.004236324785043,0.000499201255788823,9.25273450039086
IN075,I09N,-11.104455,94.9999833,2016-04-03,7,29.796,0.05,0,0,1.15,0.036319237,34.02825,44.95,570.360069444444,445.003936320175,0.061652172,40.00414,211.624918491862,165.113104506148,0.0003848585,0.00814272348063213,0.979916490659943,0.00401899262621958,0.00294877304483832,0.00448659633420245,0.000486423854164183,7.42205223569658
IN076,I09N,-10.884905,94.9990333,2016-04-03,7,30.399,0.05,0,0,1.2,0.036319237,34.0409,43.9,591.604930555556,445.003936320175,0.0609915,36.621876,236.486019764489,177.884267430063,0.0003848585,0.007516384672756,0.979774140530031,0.00410908954372292,0.0030030070753345,0.00503569869994199,0.000561679478213896,7.95358810122203
